,BookName,Href
20,A first course in statistical programming with R / W. John Braun and Duncan J. Murdoch,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&21%2C21%2C
21,wbstats [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&22%2C22%2C
22,"Python companion to data science : collect, organize, explore, predict, value / Dmitry Zinoviev ; [edited by Katharine Dvorak].",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&23%2C23%2C
23,"Financial analytics with R : building a laptop laboratory for data science / Mark J. Bennett, Dirk L. Hugen",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&24%2C24%2C
24,A first course in statistical programming with R / W. John Braun and Duncan J. Murdoch.,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&25%2C25%2C
25,"Multivariate statistics : exercises and solutions / Wolfgang Karl Härdle, Zdeněk Hlávka",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&26%2C26%2C
26,Bioinformatics data skills : reproducible and robust research with open source tools / Vince Buffalo,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&27%2C27%2C
27,"Beginning R : an introduction to statistical programming / Joshua F. Wiley, Larry A. Pace.",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&28%2C28%2C
28,"R for marketing research and analytics / Chris Chapman, Elea McDonnell Feit.",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&29%2C29%2C
29,"Core statistics / Simon Wood, University of Bath.",http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&30%2C30%2C
30,R quick syntax reference / Margot Tollefson,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&31%2C31%2C
31,Computational actuarial science with R / edited by Arthur Charpentier,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&32%2C32%2C
32,Hands-on programming with R / Garrett Grolemund,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&33%2C33%2C
33,The R book / Michael J. Crawley,http://oskicat.berkeley.edu/search~S1?/X(R+language)&SORT=D/X(R+language)&SORT=D&SUBKEY=(R+language)/1%2C17668%2C17668%2CB/frameset&FF=X(R+language)&SORT=D&34%2C34%2C
