,Skill,BookName,Link
1,Python,Machine learning with Spark and Python : essential techniques for predictive analytics / Michael Bowles.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&1%2C1%2C
2,Python,Introduction to Python for science and engineering / David J. Pine,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&2%2C2%2C
3,Python,Python for finance : mastering data-driven finance / Yves Hilpisch,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&3%2C3%2C
