,CourseName,Rating,ClassDifficulty,PartnerName,Href
0,Python for Everybody,4.8,Beginner,University of Michigan,www.coursera.org/specializations/python
1,Python 3 Programming,4.7,Beginner,University of Michigan,www.coursera.org/specializations/python-3-programming
2,IBM Data Science,4.6,Beginner,IBM,www.coursera.org/professional-certificates/ibm-data-science
3,Google IT Automation with Python,4.7,Beginner,Google,www.coursera.org/professional-certificates/google-it-automation
4,Applied Data Science with Python,4.5,Intermediate,University of Michigan,www.coursera.org/specializations/data-science-python
5,Programming for Everybody (Getting Started with Python),4.8,Mixed,University of Michigan,www.coursera.org/learn/python
6,Python for Data Science and AI,4.6,Beginner,IBM,www.coursera.org/learn/python-for-applied-data-science-ai
7,Introducción a la programación en Python I: Aprendiendo a programar con Python,4.5,Beginner,Pontificia Universidad Católica de Chile,www.coursera.org/learn/aprendiendo-programar-python
8,Python Basics,4.8,Beginner,University of Michigan,www.coursera.org/learn/python-basics
