,BookName,Href
23,Hands-on unsupervised learning using Python : how to build applied machine learning solutions from unlabeled data / Ankur A. Patel,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&24%2C24%2C
24,Introduction to Python for science and engineering / David J. Pine.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&25%2C25%2C
25,A Python Script to Convert MCNP Unstructured Mesh Elemental Edit Output Files to XML-based VTK Files [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&26%2C26%2C
26,"Automating the Analysis of GHGRP Data Using Python, to Perform Temporal Analysis on Natural Gas Supply Chain Parameters - LCAXIX [electronic resource]",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&27%2C27%2C
27,DIC Simulator using Blender and Python. [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&28%2C28%2C
28,Rethinking the C++ / Python Boundary in Modeling and Optimization Tools. [electronic resource],http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&29%2C29%2C
29,"Supercharged Python : take your code to the next level / Brian Overland, John Bennett.",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&30%2C30%2C
30,R and Python for oceanographers : a practical guide with applications / Hakan Alyuruk.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&31%2C31%2C
31,Machine learning with Python for everyone / Mark E. Fenner.,http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&32%2C32%2C
32,"Python crash course : a hands-on, project-based introduction to programming  / by Eric Matthes.",http://oskicat.berkeley.edu/search~S1?/X(Python)&SORT=D/X(Python)&SORT=D&SUBKEY=(Python)/1%2C1438%2C1438%2CB/frameset&FF=X(Python)&SORT=D&33%2C33%2C
