,BookName,Href
0,Python Algorithms: mastering basic algorithms in the python language / Magnus Lei Hetland,http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&1%2C1%2C
2,"Head first programming: [a learner's guide to programming using the Python language] / Paul Barry, David Griffiths",http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&3%2C3%2C
4,Computational mathematics with SageMath / P  Zimmermann [and 15 others],http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&5%2C5%2C
5,"Python for programmers: with introductory AI case studies / Paul Deitel, Harvey Deitel ",http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&6%2C6%2C
6,Complex network analysis in Python: recognize - construct - visualize - analyze - interpret / Dmitry Zinoviev ; edited by Adaobi Obi Tulton ,http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&7%2C7%2C
7,"Personal finance with Python: using pandas, requests, and recurrent / Max Humber",http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&8%2C8%2C
8,"Python in a nutshell / Alex Martelli, Anna Ravenscroft, and Steve Holden ",http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&9%2C9%2C
9,"Python for data analysis: data wrangling with Pandas, NumPy, and IPython / Wes McKinney",http://oskicat.berkeley.edu/search~S1?/X(Python+language)&SORT=D/X(Python+language)&SORT=D&SUBKEY=(Python+language)/1%2C680%2C680%2CB/frameset&FF=X(Python+language)&SORT=D&10%2C10%2C
