,BookName,Href
0,"Computational science -- ICCS 2018 : 18th International Conference, Wuxi, China, June 11-13, 2018, Proceedings. Part II / edited by Yong Shi, Haohuan Fu, Yingjie Tian, Valeria V. Krzhizhanovskaya, Michael Harold Lees, Jack Dongarra, Peter M.A. Sloot",http://oskicat.berkeley.edu/search~S1?/X(CSS+language)&SORT=D/X(CSS+language)&SORT=D&SUBKEY=(CSS+language)/1%2C136%2C136%2CB/frameset&FF=X(CSS+language)&SORT=D&1%2C1%2C
1,R Markdown : the Definitive Guide,http://oskicat.berkeley.edu/search~S1?/X(CSS+language)&SORT=D/X(CSS+language)&SORT=D&SUBKEY=(CSS+language)/1%2C136%2C136%2CB/frameset&FF=X(CSS+language)&SORT=D&2%2C2%2C
2,"Learning PHP, MySQL & JavaScript : with JQuery, CSS & HTML5 / Robin Nixon",http://oskicat.berkeley.edu/search~S1?/X(CSS+language)&SORT=D/X(CSS+language)&SORT=D&SUBKEY=(CSS+language)/1%2C136%2C136%2CB/frameset&FF=X(CSS+language)&SORT=D&3%2C3%2C
3,Guide to programming for the digital humanities : lessons for introductory Python / Brian Kokensparger,http://oskicat.berkeley.edu/search~S1?/X(CSS+language)&SORT=D/X(CSS+language)&SORT=D&SUBKEY=(CSS+language)/1%2C136%2C136%2CB/frameset&FF=X(CSS+language)&SORT=D&4%2C4%2C
4,"Practical Web Scraping for Data Science : Best Practices and Examples with Python / Seppe vanden Broucke, Bart Baesens",http://oskicat.berkeley.edu/search~S1?/X(CSS+language)&SORT=D/X(CSS+language)&SORT=D&SUBKEY=(CSS+language)/1%2C136%2C136%2CB/frameset&FF=X(CSS+language)&SORT=D&5%2C5%2C
