,BookName,Href
0,"Oracle PL/SQL language : pocket reference / Steven Feuerstein, Bill Pribyl,  and Chip Dawes",http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&1%2C1%2C
1,"Oracle PL/SQL language [electronic resource] : pocket reference / Steven Feuerstein, Bill Pribyl, and Chip Dawes.",http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&2%2C2%2C
2,"Oracle PL/SQL language [electronic resource] : pocket reference / Steven Feuerstein, Bill Pribyl, and Chip Dawes.",http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&3%2C3%2C
3,"Oracle PL/SQL language [electronic resource] : pocket reference / Steven Feuerstein, Bill Pribyl, and Chip Dawes",http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&4%2C4%2C
4,Social media based NPL system to find and retrieve ARM data [electronic resource] : Concept paper,http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&5%2C5%2C
