,BookName,Href
0,MATLAB linear algebra,http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&1%2C1%2C
1,MATLAB matrix algebra,http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&2%2C2%2C
2,MATLAB optimization techniques,http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&3%2C3%2C
5,Getting started with MATLAB: a quick introduction for scientists and engineers / Rudra Pratap ,http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&6%2C6%2C
6,"Insight through computing: a MATLAB introduction to computational science and engineering / Charles F  Van Loan, K -Y  Daisy Fan",http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&7%2C7%2C
8,"MATLAB primer for speech-language pathology and audiology / Frank R  Boutsen, PhD, CCC-SLP Justin D  Dvorak, MS ",http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&9%2C9%2C
9,A concise introduction to machine learning / Anita Faul,http://oskicat.berkeley.edu/search~S1?/X(MATLAB+language)&SORT=D/X(MATLAB+language)&SORT=D&SUBKEY=(MATLAB+language)/1%2C173%2C173%2CB/frameset&FF=X(MATLAB+language)&SORT=D&10%2C10%2C
