,BookName,Href
0,"C language pocket reference / Peter Drayton, Ben Albahari and Ted Neward ",http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&1%2C1%2C
2,Developing C language portable system call libraries / Matt Weisfeld ,http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&3%2C3%2C
4,"Programming using the C language / Robert C  Hutchison, Steven B  Just ",http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&5%2C5%2C
5,Portability and the C language / Rex Jaeschke ,http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&6%2C6%2C
6,Complete C language programming for the IBM-PC / Douglas A  Troy ,http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&7%2C7%2C
7,Writing business programs in C language / Martin Franz and Phillip Good ,http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&8%2C8%2C
8,Building Writing Competency  Step by Step Mastery of Sentence and Paragraph Writing Skills  a Title Iv-C Language Project  Teachers' Handbook [and Levels 1-6] ,http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&9%2C9%2C
9,"Games and Activities, Volume 1, Part C: Language Levels a-B( Grades 1 and 2) ",http://oskicat.berkeley.edu/search~S1?/X(C+language)&SORT=D/X(C+language)&SORT=D&SUBKEY=(C+language)/1%2C23741%2C23741%2CB/frameset&FF=X(C+language)&SORT=D&10%2C10%2C
