,CourseName,Rating,ClassDifficulty,PartnerName,Href
0,Web Design for Everybody: Basics of Web Development & Coding,4.7,Beginner,University of Michigan,www.coursera.org/specializations/web-design
1,"HTML, CSS, and Javascript for Web Developers",4.8,Mixed,Johns Hopkins University,www.coursera.org/learn/html-css-javascript-for-web-developers
2,Introduction to HTML5,4.7,Mixed,University of Michigan,www.coursera.org/learn/html
3,Introduction to Web Development,4.7,Beginner,"University of California, Davis",www.coursera.org/learn/web-development
5,"Programming Foundations with JavaScript, HTML and CSS",4.6,Beginner,Duke University,www.coursera.org/learn/duke-programming-web
7,"Responsive Website Basics: Code with HTML, CSS, and JavaScript",4.5,Mixed,University of London,www.coursera.org/learn/website-coding
8,How To Create a Website in a Weekend! (Project-Centered Course),3.4,Mixed,The State University of New York,www.coursera.org/learn/how-to-create-a-website
9,"Programming Languages, Part A",4.9,Intermediate,University of Washington,www.coursera.org/learn/programming-languages
