,BookName,Href
0,"Java language features: with modules, streams, threads, I/O, and lambda expressions / Kishori Sharan",http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&1%2C1%2C
1,"The Java language specification / James Gosling, Bill Joy, Guy Steele, Gilad Bracha, Alex Buckley ",http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&2%2C2%2C
5,Introduction to software design with Java / Martin P  Robillard,http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&6%2C6%2C
6,Java: the complete reference / Herbert Schildt ,http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&7%2C7%2C
7,Core Java SE 9 for the impatient / Cay S  Horstmann ,http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&8%2C8%2C
8,Learn Android Studio 3: efficient Android app development / Ted Hagos,http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&9%2C9%2C
9,"Java APIs, extensions and libraries: with JavaFX, JDBC, jmod, jlink, networking, and the Process API / Kishori Sharan",http://oskicat.berkeley.edu/search~S1?/X(Java+language)&SORT=D/X(Java+language)&SORT=D&SUBKEY=(Java+language)/1%2C1600%2C1600%2CB/frameset&FF=X(Java+language)&SORT=D&10%2C10%2C
