,BookName,Href
0,"Oracle PL/SQL language: pocket reference / Steven Feuerstein, Bill Pribyl, and Chip Dawes",http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&1%2C1%2C
5,Pro SQL Server on Linux: including container-based deployment with Docker and Kubernetes / Bob Ward ; foreword by Slava Oks,http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&6%2C6%2C
6,Practical SQL: a beginner's guide to storytelling with data / by Anthony DeBarros ,http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&7%2C7%2C
7,Machine Learning and Social Media to Mine and Disseminate Big Scientific Data ,http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&8%2C8%2C
9,"Expert Oracle Application Express / John Scott, Nick Buytaert, Karen Cannell, Martin D'Souza, Doug Gault, Dimitri Gielis, Roel Hartman, Denes Kubicek, Raj Mattamal, Dan McGhan, Francis Mignault, Tom Petrus, Jorge Rimblas and Christoph Ruepprich",http://oskicat.berkeley.edu/search~S1?/X(SQL+language)&SORT=D/X(SQL+language)&SORT=D&SUBKEY=(SQL+language)/1%2C559%2C559%2CB/frameset&FF=X(SQL+language)&SORT=D&10%2C10%2C
