,CourseName,Rating,ClassDifficulty,PartnerName,Href
0,Web Design for Everybody: Basics of Web Development & Coding,4.7,Beginner,University of Michigan,www.coursera.org/specializations/web-design
1,Introduction to CSS3,4.8,Mixed,University of Michigan,www.coursera.org/learn/introcss
2,"HTML, CSS, and Javascript for Web Developers",4.8,Mixed,Johns Hopkins University,www.coursera.org/learn/html-css-javascript-for-web-developers
3,"Programming Foundations with JavaScript, HTML and CSS",4.6,Beginner,Duke University,www.coursera.org/learn/duke-programming-web
4,Introduction to Web Development,4.7,Beginner,"University of California, Davis",www.coursera.org/learn/web-development
6,"Responsive Website Basics: Code with HTML, CSS, and JavaScript",4.5,Mixed,University of London,www.coursera.org/learn/website-coding
8,Interaction Design,4.5,Intermediate,University of California San Diego,www.coursera.org/specializations/interaction-design
