,CourseName,Rating,ClassDifficulty,PartnerName,Href
0,Learn SQL Basics for Data Science,4.6,Beginner,"University of California, Davis",www.coursera.org/specializations/learn-sql-basics-data-science
1,IBM Data Science,4.6,Beginner,IBM,www.coursera.org/professional-certificates/ibm-data-science
2,Excel to MySQL: Analytic Techniques for Business,4.6,Beginner,Duke University,www.coursera.org/specializations/excel-mysql
3,SQL for Data Science,4.6,Beginner,"University of California, Davis",www.coursera.org/learn/sql-for-data-science
4,Introduction to Structured Query Language (SQL),4.8,Intermediate,University of Michigan,www.coursera.org/learn/intro-sql
5,Databases and SQL for Data Science,4.7,Beginner,IBM,www.coursera.org/learn/sql-data-science
6,Modern Big Data Analysis with SQL,4.8,Beginner,Cloudera,www.coursera.org/specializations/cloudera-big-data-analysis-sql
7,Python for Everybody,4.8,Beginner,University of Michigan,www.coursera.org/specializations/python
8,Data Warehousing for Business Intelligence,4.5,Advanced,University of Colorado System,www.coursera.org/specializations/data-warehousing
